1	50	2	9	10	11	2	9	10	11
50	100	6	26	30	34	6	26	30	34
100	150	10	43	50	56	10	43	50	56
150	200	13	60	70	79	13	60	70	79
200	250	17	77	90	101	17	77	90	101
250	300	21	94	110	124	21	94	110	124
300	350	25	111	130	146	25	111	130	146
350	400	29	128	150	169	29	128	150	169
400	450	33	145	170	191	33	145	170	191
450	500	36	162	190	214	36	162	190	214
500	550	40	179	210	236	40	179	210	236
550	600	44	196	230	259	44	196	230	259
600	650	48	213	250	281	48	213	250	281
650	700	52	230	270	304	52	230	270	304
700	750	55	247	290	326	55	247	290	326
750	800	59	264	310	349	59	264	310	349
800	850	63	281	330	371	63	281	330	371
850	900	67	298	350	394	67	298	350	394
900	950	71	315	370	416	71	315	370	416
950	1000	75	332	390	439	75	332	390	439
1000	1050	78	349	410	461	78	349	410	461
1050	1100	82	366	430	484	82	366	430	484
1100	1150	86	383	450	506	86	383	450	506
1150	1200	90	400	470	529	90	400	470	529
1200	1250	94	417	490	551	94	417	490	551
1250	1300	98	434	510	574	98	434	510	574
1300	1350	101	451	530	596	101	451	530	596
1350	1400	105	468	550	619	105	468	550	619
1400	1450	109	485	570	641	109	485	570	641
1450	1500	113	502	590	664	113	502	590	664
1500	1550	117	519	610	686	117	519	610	686
1550	1600	120	536	630	709	120	536	630	709
1600	1650	124	553	650	731	124	553	650	731
1650	1700	128	570	670	754	128	570	670	754
1700	1750	132	587	690	776	132	587	690	776
1750	1800	136	604	710	799	136	604	710	799
1800	1850	140	621	730	821	140	621	730	821
1850	1900	143	638	750	844	143	638	750	844
1900	1950	147	655	770	866	147	655	770	866
1950	2000	151	672	790	889	151	672	790	889
2000	2050	155	689	810	911	155	689	810	911
2050	2100	159	706	830	934	159	706	830	934
2100	2150	163	723	850	956	163	723	850	956
2150	2200	166	740	870	979	166	740	870	979
2200	2250	170	757	890	1001	170	757	890	1001
2250	2300	174	774	910	1024	174	774	910	1024
2300	2350	178	791	930	1046	178	791	930	1046
2350	2400	182	808	950	1069	182	808	950	1069
2400	2450	186	825	970	1091	186	825	970	1091
2450	2500	189	842	990	1114	189	842	990	1114
2500	2550	193	859	1010	1136	193	859	1010	1136
2550	2600	197	876	1030	1159	197	876	1030	1159
2600	2650	201	893	1050	1181	201	893	1050	1181
2650	2700	205	910	1070	1204	205	910	1070	1204
2700	2750	208	927	1090	1226	208	927	1090	1226
2750	2800	212	944	1110	1249	212	944	1110	1249
2800	2850	216	961	1130	1271	216	961	1130	1271
2850	2900	220	978	1150	1294	220	978	1150	1294
2900	2950	224	995	1170	1316	224	995	1170	1316
2950	3000	228	1012	1190	1339	228	1012	1190	1339
3000	3050	231	1029	1210	1361	231	1029	1210	1361
3050	3100	235	1046	1230	1384	235	1046	1230	1384
3100	3150	239	1063	1250	1406	239	1063	1250	1406
3150	3200	243	1080	1270	1429	243	1080	1270	1429
3200	3250	247	1097	1290	1451	247	1097	1290	1451
3250	3300	251	1114	1310	1474	251	1114	1310	1474
3300	3350	254	1131	1330	1496	254	1131	1330	1496
3350	3400	258	1148	1350	1519	258	1148	1350	1519
3400	3450	262	1165	1370	1541	262	1165	1370	1541
3450	3500	266	1182	1390	1564	266	1182	1390	1564
3500	3550	270	1199	1410	1586	270	1199	1410	1586
3550	3600	273	1216	1430	1609	273	1216	1430	1609
3600	3650	277	1233	1450	1631	277	1233	1450	1631
3650	3700	281	1250	1470	1654	281	1250	1470	1654
3700	3750	285	1267	1490	1676	285	1267	1490	1676
3750	3800	289	1284	1510	1699	289	1284	1510	1699
3800	3850	293	1301	1530	1721	293	1301	1530	1721
3850	3900	296	1318	1550	1744	296	1318	1550	1744
3900	3950	300	1335	1570	1766	300	1335	1570	1766
3950	4000	304	1352	1590	1789	304	1352	1590	1789
4000	4050	308	1369	1610	1811	308	1369	1610	1811
4050	4100	312	1386	1630	1834	312	1386	1630	1834
4100	4150	316	1403	1650	1856	316	1403	1650	1856
4150	4200	319	1420	1670	1879	319	1420	1670	1879
4200	4250	323	1437	1690	1901	323	1437	1690	1901
4250	4300	327	1454	1710	1924	327	1454	1710	1924
4300	4350	331	1471	1730	1946	331	1471	1730	1946
4350	4400	335	1488	1750	1969	335	1488	1750	1969
4400	4450	339	1505	1770	1991	339	1505	1770	1991
4450	4500	342	1522	1790	2014	342	1522	1790	2014
4500	4550	346	1539	1810	2036	346	1539	1810	2036
4550	4600	350	1556	1830	2059	350	1556	1830	2059
4600	4650	354	1573	1850	2081	354	1573	1850	2081
4650	4700	358	1590	1870	2104	358	1590	1870	2104
4700	4750	361	1607	1890	2126	361	1607	1890	2126
4750	4800	365	1624	1910	2149	365	1624	1910	2149
4800	4850	369	1641	1930	2171	369	1641	1930	2171
4850	4900	373	1658	1950	2194	373	1658	1950	2194
4900	4950	377	1675	1970	2216	377	1675	1970	2216
4950	5000	381	1692	1990	2239	381	1692	1990	2239
5000	5050	384	1709	2010	2261	384	1709	2010	2261
5050	5100	388	1726	2030	2284	388	1726	2030	2284
5100	5150	392	1743	2050	2306	392	1743	2050	2306
5150	5200	396	1760	2070	2329	396	1760	2070	2329
5200	5250	400	1777	2090	2351	400	1777	2090	2351
5250	5300	404	1794	2110	2374	404	1794	2110	2374
5300	5350	407	1811	2130	2396	407	1811	2130	2396
5350	5400	411	1828	2150	2419	411	1828	2150	2419
5400	5450	415	1845	2170	2441	415	1845	2170	2441
5450	5500	419	1862	2190	2464	419	1862	2190	2464
5500	5550	423	1879	2210	2486	423	1879	2210	2486
5550	5600	426	1896	2230	2509	426	1896	2230	2509
5600	5650	430	1913	2250	2531	430	1913	2250	2531
5650	5700	434	1930	2270	2554	434	1930	2270	2554
5700	5750	438	1947	2290	2576	438	1947	2290	2576
5750	5800	442	1964	2310	2599	442	1964	2310	2599
5800	5850	446	1981	2330	2621	446	1981	2330	2621
5850	5900	449	1998	2350	2644	449	1998	2350	2644
5900	5950	453	2015	2370	2666	453	2015	2370	2666
5950	6000	457	2032	2390	2689	457	2032	2390	2689
6000	6050	461	2049	2410	2711	461	2049	2410	2711
6050	6100	465	2066	2430	2734	465	2066	2430	2734
6100	6150	469	2083	2450	2756	469	2083	2450	2756
6150	6200	472	2100	2470	2779	472	2100	2470	2779
6200	6250	476	2117	2490	2801	476	2117	2490	2801
6250	6300	480	2134	2510	2824	480	2134	2510	2824
